contenu,commentaire,tome,chapitre,scene,locuteur,characters,english,english_com
"Ils étaient en train de regarder une télévision toute neuve, un cadeau que l'oncle Vernon et la tante Pétunia avaient fait au début des vacances à leur fils Dudley qui s'était plaint bruyamment que le chemin séparant le réfrigérateur de la télévision du living était beaucoup trop long pour lui. Dudley avait passé la plus grande partie de l'été dans la cuisine, ses petits yeux porcins rivés sur l'écran, ses cinq mentons tremblotant d'avidité tandis qu'il s'empiffrait continuellement.",,3,2,0,Narrateur,"Dudley Dursley, Vernon Dursley, Pétunia Dursley",,
"— Une simple signature sur mon autorisation de sortie m'aiderait sûrement à me rappeler le nom de l'établissement où je suis censé être pensionnaire, reprit précipitamment Harry. Et je promets de me conduire comme un parfait Mol... je veux dire de faire semblant d'être normal...",Harry à son oncle Vernon,3,2,0,Harry Potter,"Harry Potter, Vernon Dursley",,
"— C'est l'un des principes de base de toute éducation, poursuivit-elle. On le voit très bien dans l'élevage des chiens. S'il y a quelque chose de tordu chez la mère, on retrouvera la même tare chez ses chiots.",Marge Dursley,3,2,0,Marjorie Dursley,"Marjorie Dursley, Harry Potter",,
"— Tu t'inquiètes sans doute de la réaction de ton oncle et de ta tante ? reprit Fudge. Ils sont très en colère, inutile de le nier, mais ils ont quand même accepté de te reprendre chez eux l'été prochain, à condition que tu restes à Poudlard pour les vacances de Noël et de Pâques.<br>Harry retrouva l'usage de la parole.<br>— Je reste toujours à Poudlard à Noël et à Pâques, dit-il, et de toute façon, je ne veux plus jamais retourner à Privet Drive.<br>— Allons, allons, je suis sûr que tu ne diras plus la même chose lorsque tu te seras calmé, répondit Fudge d'un ton préoccupé. Après tout, ils sont ta seule famille et je suis convaincu que vous vous aimez beaucoup les uns les autres... heu... au fond de vous-mêmes...",,3,3,0,"Cornelius Fudge, Harry Potter","Cornelius Fudge, Harry Potter, Vernon Dursley, Pétunia Dursley",,
"Il leva machinalement la main et essaya d'aplatir ses cheveux.<br>— Ça, c'est un combat perdu d'avance, dit alors son miroir d'une voix sifflante.",,3,4,0,Narrateur,Harry Potter,,
"— Je préfère ne pas savoir ce que le ministère me ferait à moi si je m'amusais à gonfler une de mes tantes. Remarque, il faudrait d'abord qu'ils me déterrent, parce que ma mère m'aurait tué sur-le-champ.",Ron à Harry et Hermione,3,4,0,Ron Weasley,"Ron Weasley, Molly Weasley",,
"— On a essayé de l'enfermer dans une pyramide, dit-il à Harry, mais Maman nous a vus.",George à propos de Percy,3,4,0,George Weasley,"George Weasley, Percy Weasley, Molly Weasley",,
"— Écoute-moi bien, tu dois me donner ta parole que...<br>— ...que je ne ferai pas de bêtises et que je resterai au château ? acheva Harry d'un ton lugubre.<br>— Pas seulement ça, dit Mr Weasley qui n'avait jamais paru aussi grave. Harry. jure-moi que tu n'essaieras pas de retrouver Black.<br>— Quoi ? répondit Harry en ouvrant des yeux ronds.<br>Il y eut un coup de sifflet sonore. Des employés en uniforme avançaient le long du quai en fermant les portières.<br>— Harry, promets-moi... insista Mr Weasley en parlant de plus en plus vite, jure-moi que, quoi qu'il arrive...<br>— Pourquoi est-ce que j'essaierais de retrouver quelqu'un qui veut me tuer ? répliqua Harry d'une voix neutre.",,3,5,0,"Harry Potter, Arthur Weasley","Harry Potter, Arthur Weasley, Sirius Black",,
"— Sirius Black s'est évadé pour te tuer ? dit-elle enfin. Harry, cette fois, il faut vraiment que tu sois prudent. Ne cherche pas les ennuis...<br>— Je ne cherche aucun ennui, répliqua Harry, agacé. Généralement, ce sont les ennuis qui me trouvent.<br>— Il faudrait vraiment qu'il soit idiot pour aller chercher un cinglé qui veut le tuer, dit Ron d'une voix tremblante.",,3,5,0,"Harry Potter, Ron Weasley, Hermione Granger","Harry Potter, Ron Weasley, Hermione Granger",,
Crabbe et Goyle ne semblaient avoir d'autre utilité dans la vie que d'obéir à Malefoy.,,3,5,0,Narrateur,"Drago Malefoy, Vincent Crabbe, Gregory Goyle",,
"— Alors, Weasley, j'ai entendu dire que ton père avait enfin réussi à se procurer un peu d'or, cet été. J'espère que ta mère n'est pas morte sous le choc ?",Drago Malefoy à Ron Weasley,3,5,0,Drago Malefoy,"Drago Malefoy, Ron Weasley, Arthur Weasley, Molly Weasley",,
"— Il faudrait au moins lui donner du chocolat, dit Madame Pomfresh qui examinait ses pupilles. <br>— J'en ai déjà eu, dit Harry. Le professeur Lupin m'en a donné, il en a même donné à tout le monde. <br>— Ah, très bien, approuva Madame Pomfresh. Nous avons enfin un professeur de Défense contre les forces du Mal qui connaît les bons remèdes.",,3,5,0,"Pompom Pomfresh, Harry Potter","Pompom Pomfresh, Harry Potter, Remus Lupin",,
"— Les Détraqueurs ne se laissent pas abuser par des déguisements ou des ruses quelconques, pas même par les capes d'invisibilité",Dumbledore aux élèves rassemblés dans la Grande Salle,3,5,0,Albus Dumbledore,Albus Dumbledore,,
"— Je dois tout d'abord vous informer que le professeur Brûlopot, qui enseignait les Soins aux créatures magiques, a pris sa retraite afin de pouvoir s'occuper plus longuement des derniers membres qui lui restaient.",Dumbledore aux élèves rassemblés dans la Grande Salle,3,5,0,Albus Dumbledore,"Albus Dumbledore, Silvanus Brûlopot",,
"— Il se peut que vous ne m'ayez encore jamais vue, car je descends rarement dans les autres parties du château. L'agitation qui y règne trouble mon Troisième OEil.",Le professeur Trelawney à ses élèves,3,6,0,Sibylle Trelawney,Sibylle Trelawney,,
"— Quand vous aurez décidé si je dois mourir ou non, vous me le direz, déclara Harry qui sembla surpris par ses propres paroles.",Harry à ses camarades en cours de divination,3,6,0,Harry Potter,Harry Potter,,
"— Voilà ce qui s'est passé, professeur, dit-elle, nous avons eu notre premier cours de Divination, nous avons lu l'avenir dans les feuilles de thé et... <br>— Ah, je comprends, l'interrompit le professeur McGonagall en fronçant les sourcils. Inutile d'aller plus loin, Miss Granger. Dites-moi plutôt qui doit mourir cette année ?",,3,6,0,"Minerva McGonagall, Hermione Granger","Minerva McGonagall, Hermione Granger, Sibylle Trelawney",,
"— Vous me paraissez en excellente santé, Potter, aussi j'ai le regret de vous annoncer que vous ne serez pas dispensé de faire votre prochain devoir. Mais si vous mourez, je vous promets que vous ne serez pas obligé de me le rendre.",McGonagall à Harry,3,6,0,"Minerva McGonagall, Harry Potter","Minerva McGonagall, Harry Potter",,
"— Sera-t-il jamais possible de faire entrer quelque chose sous votre crâne épais, Londubat ?",Severus Rogue à Neville Londubat,3,7,0,Severus Rogue,"Severus Rogue, Neville Londubat",,
"— Qu'est-ce que tu crains le plus, toi ? demanda Ron avec un rire moqueur. Faire un devoir qui n'aurait que dix-neuf sur vingt ?",Ron Weasley à Hermione Granger,3,7,0,Ron Weasley,"Ron Weasley, Hermione Granger",,
"— Black aurait dû se cacher dans le bureau de Rogue, comme ça, il nous en aurait débarrassé !",Ron Weasley à Harry et Hermione,3,9,0,Ron Weasley,"Ron Weasley, Sirius Black, Severus Rogue",,
"— Tu connais le Saule cogneur, dit Ron. Il... il n'aime pas du tout qu'on lui tombe dessus.",Ron à Harry à propos de son balai,3,9,0,Ron Weasley,"Ron Weasley, Harry Potter",,
"— On avait fait exploser une Bombabouse dans le couloir et, pour une raison mystérieuse, ça ne lui a pas plu du tout.",Fred Weasley à Harry à propos de Rusard,3,10,0,Fred Weasley,"Fred Weasley, Argus Rusard",,
"— Tout ce qui compte pour eux, c'est d'avoir à leur disposition deux cents êtres humains qu'ils puissent vampiriser en leur ôtant toute idée de bonheur. Qu'on soit coupable ou innocent, ça leur est bien égal.","Hagrid à Harry, Ron et Hermione à propos des Détraqueurs",3,11,0,Rubeus Hagrid,Rubeus Hagrid,,
"— Lupin ? S'il avait suffisamment d'or pour acheter ça, il pourrait se payer des vêtements neufs.",Harry à Ron à propos de l'Eclair de Feu,3,11,0,Harry Potter,"Harry Potter, Remus Lupin",,
"— Je ne pourrai jamais, Monsieur le Directeur, dit-elle. Si je m'assieds parmi vous, nous serons treize à table ! Ce serait le signe d'un grand malheur ! N'oublions jamais que lorsqu'il y a treize convives autour d'une table, le premier qui se lève sera le premier à mourir !",Trelawney aux professeurs et aux élèves présents lors du repas de Noël,3,11,0,Sibylle Trelawney,"Sibylle Trelawney, Albus Dumbledore",,
"Harry resta abasourdi à l'idée qu'on puisse arracher l'âme de quelqu'un en l'aspirant par sa bouche. Puis il pensa à Black.<br>— Il le mérite, dit-il brusquement.<br>— Vous croyez ? dit Lupin d'une voix légère. Vous croyez vraiment que quiconque peut mériter ça ?",,3,12,0,"Harry Potter, Remus Lupin","Harry Potter, Remus Lupin, Sirius Black",,
— Ils sont morts et entendre des échos de leur voix ne les fera pas revivre,Harry à lui-même à propos de ses parents,3,12,0,Harry Potter,"Harry Potter, Lily Potter, James Potter",,
— Elle avait l'air de penser que je m'occupais plus de gagner la coupe que de te garder en vie. Simplement parce que je lui ai dit que ça m'était égal que tu tombes du balai pourvu que tu attrapes le Vif d'or avant ta chute.,Olivier Dubois à Harry à propos de McGonagall,3,12,0,Olivier Dubois,"Olivier Dubois, Harry Potter, Minerva McGonagall",,
"— L'Arithmancie, ça m'a l'air horriblement ennuyeux, dit Harry en regardant une table de calculs très compliqués.<br>— Oh, non, c'est passionnant ! C'est même ma matière préféré ![répondit Hermione]",,3,12,0,"Harry Potter, Hermione Granger","Harry Potter, Hermione Granger",,
"— Un jour, il nous a débarrassés de Goyle en le mordant ! répliqua Ron d'un air accablé. Tu te souviens, Harry ?<br>— C'est vrai, dit Harry.<br>— Son heure de gloire, dit Fred, incapable de garder son sérieux. Que la cicatrice sur le doigt de Goyle témoigne de cet acte de bravoure !","Fred, Ron et Harry au sujet de Croûtard",3,13,0,"Harry Potter, Ron Weasley, Fred Weasley","Harry Potter, Ron Weasley, Fred Weasley, Gregory Goyle, Peter Pettigrow",,
"— Dommage que tu ne puisses pas te greffer un troisième bras, répliqua Harry. Il pourrait peut-être attraper le Vif d'or à ta place.",Harry à Malefoy,3,13,0,Harry Potter,"Harry Potter, Drago Malefoy",,
"— Gryffondor mène par quatre-vingts points à zéro et regardez un peu les performances de l'Éclair de Feu ! Potter arrive à lui faire faire ce qu'il veut, maintenant. Vous avez vu comment il prend ses virages ? Le Comète de Chang ne fait pas le poids...<br>— JORDAN ! VOUS AVEZ REÇU DE L'ARGENT POUR FAIRE LA PUBLICITÉ DE L'ÉCLAIR DE FEU OU QUOI ? CONCENTREZ-VOUS SUR LE COMMENTAIRE DU MATCH !",Lee Jordan et le professeur McGonagall,3,13,0,"Lee Jordan, Minerva McGonagall","Lee Jordan, Minerva McGonagall, Harry Potter, Cho Chang",,
"— Parfois, les gens sont un peu stupides avec leurs animaux, dit Hagrid avec sagesse.",,3,14,0,Rubeus Hagrid,Rubeus Hagrid,,
"— J'imagine que tu serais ravi d'habiter là-dedans ? Au moins, tu aurais une chambre à toi. J'ai entendu dire que ta famille dormait dans une seule pièce... C'est vrai ?",Malefoy à Ron à propos de la Cabane Hurlante,3,14,0,Drago Malefoy,"Drago Malefoy, Ron Weasley",,
"— C'était votre tête, Potter. Votre tête qui flottait en l'air. Il y eut un long silence.<br>— Il ferait peut-être bien de consulter Madame Pomfresh, suggéra Harry. S'il voit des choses comme...<br>— Qu'est-ce que votre tête pouvait bien faire à Pré-au-lard, Potter ? l'interrompit Rogue. Votre tête n'a pas le droit de se rendre là-bas. Aucune partie de votre corps n'a reçu l'autorisation d'aller à Pré-au-lard.",Rogue et Harry dans le bureau de Rogue,3,14,0,"Severus Rogue, Harry Potter","Severus Rogue, Harry Potter, Pompom Pomfresh",,
"— Les signes du destin m'ont informée que votre examen de fin d'année portera sur la Sphère et je tiens à ce que vous y soyez bien préparés.<br>— Non, mais vraiment... « Les signes du destin l'ont informée... » Qui est-ce qui décide du sujet de l'examen ? C'est elle ! Tu parles d'une prédiction ! dit Hermione avec un petit rire, sans se soucier de baisser la voix.",Le Professeur Trelawney s'adressant à sa classe et Hermione chuchotant à l'oreille de Harry et Ron,3,15,0,"Sibylle Trelawney, Hermione Granger","Sibylle Trelawney, Hermione Granger",,
"— Quelqu'un veut-il que je l'aide à interpréter les présages qui se dessinent dans les ombres de sa boule de cristal ? murmura-t-elle en faisant cliqueter ses bracelets.<br>— Pas besoin d'aide, murmura Ron. La signification de tout ça est évidente. Il y aura beaucoup de brouillard cette nuit.",Le Professeur Trelawney et Ron,3,15,0,"Sibylle Trelawney, Ron Weasley","Sibylle Trelawney, Ron Weasley",,
"Harry dormit mal, cette nuit-là. Tout d'abord, il rêva qu'il avait oublié de se réveiller et que Dubois hurlait: « Où étais-tu passé ? On a été obligés de prendre Neville pour te remplacer ! »",,3,15,0,Narrateur,"Harry Potter, Olivier Dubois, Neville Londubat",,
"— TRENTE À ZÉRO ! BIEN FAIT POUR VOUS, BANDE DE SALES TRICHEURS...<br>— Jordan, soyez moins partial dans vos commentaires !<br>— Je dis les choses telles qu'elles sont, professeur !",Lee Jordan et McGonagall,3,15,0,"Lee Jordan, Minerva McGonagall","Lee Jordan, Minerva McGonagall",,
"— Est-ce que quelqu'un a vu mon exemplaire de Numérologie et grammaire ?<br>— Oui, bien sûr, je l'ai emprunté pour lire un peu au lit, répondit Ron, à voix très basse.",,3,16,0,"Hermione Granger, Ron Weasley","Hermione Granger, Ron Weasley",,
"Parmi les exercices imposés, ils avaient dû changer une théière en tortue et Hermione exaspéra tout le monde en se plaignant que la sienne avait l'air d'une tortue marine, alors qu'il aurait fallu faire une tortue terrestre.",,3,16,0,Narrateur,Hermione Granger,,
"— Si vous voulez tuer Harry, il faudra nous tuer aussi !",Ron à Sirius Black,3,17,0,Ron Weasley,"Ron Weasley, Severus Rogue, Harry Potter",,
"— On ne vous a jamais raconté ça, Ron ? dit Lupin. Tout ce qu'on a retrouvé de Peter, c'est un doigt de sa main.<br>— Croûtard s'est sans doute battu avec un autre rat et il a perdu un doigt dans la bagarre ! répliqua Ron. Ça fait une éternité qu'il est dans la famille...<br>— Douze ans, dit Lupin. Vous ne vous êtes jamais demandé comment il se fait qu'il ait vécu aussi longtemps ?",,3,19,0,"Remus Lupin, Ron Weasley","Remus Lupin, Ron Weasley, Peter Pettigrow",,
"— TU AURAIS DÛ MOURIR PLUTÔT QUE TRAHIR TES AMIS, MOURIR COMME NOUS SERIONS MORTS POUR TOI S'IL L'AVAIT FALLU !",Sirius Black à Peter Pettigrow,3,19,0,"Sirius Black, Peter Pettigrow","Sirius Black, Peter Pettigrow",,
— Je ne fais pas ça pour vous. Je le fais parce que je pense que mon père n'aurait pas voulu que ses meilleurs amis se transforment en tueurs... simplement à cause de vous.,Harry à Peter Pettigrow,3,19,0,Harry Potter,"Harry Potter, Peter Pettigrow, Sirius Black, Remus Lupin, James Potter",,
"— Ah, Potter... Que voulez-vous, Rogue, nous avons tous un faible pour lui.",Cornelius Fudge à Severus Rogue,3,21,0,Cornelius Fudge,"Cornelius Fudge, Severus Rogue, Harry Potter",,
"— Professeur Dumbledore, dit-il. Hier, quand j'ai passé mon examen de Divination, le professeur Trelawney est devenue très... très bizarre.<br>— Vraiment ? Tu veux dire plus bizarre que d'habitude ?",Dumbledore à Harry,3,22,0,"Albus Dumbledore, Harry Potter","Albus Dumbledore, Harry Potter, Sibylle Trelawney",,
"— L'expérience que tu as vécue avec le Retourneur de Temps ne t'a donc rien appris ? Les conséquences de nos actions sont toujours si complexes, si diverses, que prévoir l'avenir est une entreprise bien difficile... Le professeur Trelawney en est la preuve vivante. Tu as fait quelque chose de très noble en sauvant la vie de Pettigrow.",Dumbledore à Harry,3,22,0,Albus Dumbledore,"Albus Dumbledore, Harry Potter, Peter Pettigrow, Sibylle Trelawney",,
"— Pettigrow te doit la vie. Tu as envoyé à Voldemort quelqu'un qui a une dette envers toi. Lorsqu'un sorcier sauve la vie d'un autre sorcier, il se crée un certain lien entre eux... Et je serais très étonné que Voldemort veuille d'un serviteur qui a une dette envers Harry Potter.<br>— Et moi, je ne veux pas avoir de lien avec Pettigrow ! dit Harry. Il a trahi mes parents !<br>— Il s'agit là de magie à son niveau le plus profond, le plus impénétrable, Harry. Mais crois-moi... Un jour viendra peut-être où tu seras très content d'avoir sauvé la vie de Pettigrow.",Dumbledore à Harry,3,22,0,"Albus Dumbledore, Harry Potter","Albus Dumbledore, Harry Potter, Peter Pettigrow, Lily Potter, James Potter",,
"— Tu crois donc que les morts que nous avons aimés nous quittent vraiment ? Tu crois que nous ne nous souvenons pas d'eux plus clairement que jamais lorsque nous sommes dans la détresse ? Ton père vit en toi, Harry, et il se montre davantage lorsque tu as besoin de lui. Sinon, comment aurais-tu pu créer ce Patronus en particulier ? Cornedrue est revenu la nuit dernière.",Dumbledore à Harry,3,22,0,Albus Dumbledore,"Albus Dumbledore, Harry Potter, James Potter",,
"— Moi aussi, j'y ai pensé, dit Ron. Harry, il faut que tu viennes à la maison. J'arrangerai ça avec mes parents et je t'appellerai. Je sais comment me servir d'un fêlétone, maintenant.<br>— Un téléphone, Ron, rectifia Hermione. Tu devrais étudier les Moldus, l'année prochaine...",,3,22,0,"Ron Weasley, Hermione Granger","Ron Weasley, Hermione Granger, Harry Potter",,
"— Il serait possible de le faire sans Harry Potter, Maître. <br>— Sans Harry Potter ? dit la deuxième voix dans un souffle. Vraiment ? <br>— Maître, je ne dis pas cela par souci de protéger ce garçon ! assura Queudver, sa voix montant dans les aigus, comme un grincement. Il ne représente rien pour moi, rien du tout ! Simplement, si nous nous servions d'une autre sorcière ou d'un autre sorcier — n'importe quel sorcier — la chose pourrait être accomplie beaucoup plus vite !",Queudver à Voldemort,4,1,0,"Peter Pettigrow, Lord Voldemort","Peter Pettigrow, Lord Voldemort, Harry Potter",,
"Quant au directeur du collège, Harry n'avait aucune idée de l'endroit où il passait ses vacances d'été. Il s'amusa un instant à imaginer Dumbledore, avec sa grande barbe argentée, sa longue robe de sorcier et son chapeau pointu, allongé sur une plage, enduisant son long nez aquilin de crème solaire.",,4,2,0,Narrateur,"Harry Potter, Albus Dumbledore",,
"L'infirmière avait vu ce que les yeux de la tante Pétunia — si perçants d'habitude pour déceler une trace de doigt sur ses murs étincelants ou pour observer les allées et venues des voisins — avaient refusé d'accepter : que, loin d'avoir besoin de manger davantage, Dudley avait atteint à peu de chose près la taille et le poids d'un jeune cachalot.",,4,3,0,Narrateur,"Dudley Dursley, Pétunia Dursley",,
— J'espère que nous avons mis assez de timbres sur l'enveloppe.,Molly Weasley à Vernon Dursley,4,3,0,Molly Weasley,"Molly Weasley, Vernon Dursley",,
"— Une petite femme grassouillette ? grogna-t-il enfin. Avec toute une bande de rouquins ? <br>Harry fronça les sourcils. Il trouvait un peu exagéré de la part de l'oncle Vernon de traiter quiconque de « grassouillet » alors que son propre fils, Dudley, avait finalement atteint l'objectif qu'il semblait s'être fixé depuis l'âge de trois ans, c'est-à-dire devenir plus large que haut.",,4,3,0,"Vernon Dursley, Narrateur","Vernon Dursley, Harry Potter, Molly Weasley, Dudley Dursley",,
Dudley se tenait toujours le derrière comme s'il avait peur qu'il se détache de son corps et tombe par terre.,,4,4,0,Narrateur,Dudley Dursley,,
"— Sur quoi tu travailles ? demanda Harry.<br>– Sur un rapport pour le Département de la coopération magique internationale, répondit Percy d'un air important. Nous essayons d'établir des normes standards pour l'épaisseur des fonds de chaudron. Certains matériels d'importation sont un peu trop fins. On a enregistré un taux d'augmentation de trois pour cent des fuites en un an. <br>– Voilà un rapport qui va changer la face du monde, c'est sûr, dit Ron. A mon avis, les fuites dans les chaudrons, ça devrait faire la une de La Gazette du sorcier.",,4,5,0,"Harry Potter, Ron Weasley, Percy Weasley","Harry Potter, Ron Weasley, Percy Weasley",,
"— Surtout, ne lui parle pas de son patron, sinon, tu n'en auras jamais fini. D'après ce que dit Mr Croupton... Comme je le faisais remarquer à Mr Croupton... Mr Croupton pense que... Mr Croupton m'a raconté... Si ça continue comme ça, bientôt, ils annonceront leurs fiançailles.",Ron à Harry,4,5,0,Ron Weasley,"Ron Weasley, Percy Weasley, Bartemius Croupton Sr.",,
"— Charlie a dû repasser son permis, dit Fred avec un sourire. Il l'a raté la première fois. Il a transplané huit kilomètres plus au sud que l'endroit prévu, sur la tête d'une pauvre femme qui faisait ses courses, vous vous souvenez ?",,4,6,0,Fred Weasley,"Fred Weasley, Charlie Weasley",,
"— J'essaye de repérer Barty Croupton. Mon homologue bulgare fait des difficultés et je ne comprends pas un mot de ce qu'il raconte. Barty saura m'arranger ça. Il parle à peu près cent cinquante langues étrangères.<br>— Mr Croupton ? dit Percy, qui avait perdu son air de réprobation indignée et frémissait soudain d'excitation. Il en parle plus de deux cents ! Y compris la langue des sirènes, la langue de bois et la langue des trolls...<br>— Tout le monde sait parler troll, dit Fred d'un air dédaigneux, il suffit de grogner en montrant du doigt.",,4,7,0,"Ludovic Verpey, Percy Weasley, Fred Weasley","Ludovic Verpey, Percy Weasley, Fred Weasley, Bartemius Croupton Sr.",,
"A l'arrivée de Cornélius Fudge, le ministre de la Magie, Percy s'inclina si bas que ses lunettes tombèrent et se cassèrent. Horriblement gêné, il les répara d'un coup de baguette magique et resta ensuite assis sur sa chaise, jetant des regards jaloux à Harry que Cornélius Fudge avait salué comme un vieil ami.",,4,8,0,Narrateur,"Cornelius Fudge, Percy Weasley, Harry Potter",,
"Harry baissa les yeux vers le terrain et vit un étrange spectacle : Hassan Mostafa avait atterri devant les Vélanes et faisait rouler ses muscles en lissant sa moustache d'un air surexcité.<br>– On ne peut pas tolérer ça ! s'exclama Ludo Verpey, tout en ayant l'air de s'amuser beaucoup. Que quelqu'un aille donner une gifle à l'arbitre !",,4,8,0,"Narrateur, Ludovic Verpey","Ludovic Verpey, Hassan Mostafa",,
"Amos, souviens-toi à qui tu parles ! intervint Mr Weasley avec fureur. Est-ce que Harry Potter ferait apparaître la Marque des Ténèbres ?",Arthur Weasley à Amos Diggory,4,9,0,Arthur Weasley,"Arthur Weasley, Amos Diggory, Harry Potter",,
"Vous n'auriez quand même pas l'intention de recommencer cette histoire de Farces pour sorciers facétieux ?<br>– Écoute, maman, répondit Fred en levant vers elle un regard attristé. Si demain, le Poudlard Express déraille et qu'on est tués tous les deux, George et moi, imagine dans quel état tu seras en pensant que, la dernière fois que tu nous as adressé la parole, c'était pour nous accuser injustement ?",,4,10,0,"Molly Weasley, Fred Weasley","Molly Weasley, Fred Weasley, George Weasley",,
"— Je préfère me promener tout nu plutôt que de mettre un truc pareil. [...] Je ne porterai jamais ça, insista Ron. Jamais.<br>– Très bien, répliqua sèchement Mrs Weasley. Dans ce cas, promène-toi tout nu. Harry, tu n'oublieras pas de prendre une photo de lui. J'ai bien besoin de rire un peu de temps en temps.",Ron à propos de sa robe de soirée,4,10,0,"Ron Weasley, Molly Weasley","Ron Weasley, Molly Weasley, Harry Potter",,
"— Maugrey Fol OEil ? dit George d'un air songeur en étalant de la marmelade sur un toast. Ce n'est pas ce cinglé...<br>— Ton père a beaucoup d'estime pour lui, dit Mrs Weasley d'un ton grave.<br>— Oui, d'accord, mais papa collectionne bien les prises de courant, non ? dit Fred à voix basse, tandis que Mrs Weasley sortait de la cuisine. Qui se ressemble...",,4,11,0,"Molly Weasley, Fred Weasley, George Weasley","Molly Weasley, Fred Weasley, George Weasley, Alastor Maugrey",,
"— Je ne peux vraiment pas me permettre de prendre du temps libre en ce moment, leur dit-il. Mr Croupton compte de plus en plus sur moi.<br>— Tu sais quoi, Percy ? dit George très sérieusement. Un de ces jours, il finira par savoir ton nom.",,4,11,0,"Percy Weasley, George Weasley","Percy Weasley, George Weasley, Bartemius Croupton Sr.",,
